Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,285,never,15,extra large,5,1,23,9,1737
obese,male,vegan,less frequently,electricity,walk/bicycle,,143,rarely,5,small,4,18,10,23,1007
underweight,male,vegetarian,daily,natural gas,private,petrol,168,frequently,7584,large,5,15,48,23,4851
obese,female,omnivore,less frequently,wood,walk/bicycle,,129,never,12,medium,5,8,14,16,1459
underweight,male,pescatarian,more frequently,coal,private,lpg,95,rarely,3287,medium,7,14,39,23,3073
overweight,male,vegetarian,daily,wood,public,,224,never,1980,small,1,11,6,5,916
overweight,male,vegetarian,more frequently,natural gas,private,electric,104,frequently,520,small,3,17,36,17,2214
overweight,female,omnivore,daily,electricity,private,petrol,221,rarely,353,extra large,3,1,13,19,1469
underweight,female,omnivore,less frequently,electricity,public,,172,frequently,1002,extra large,1,12,42,19,1674
normal,female,vegetarian,less frequently,natural gas,private,electric,185,never,1059,medium,6,19,29,5,1308
obese,male,vegetarian,more frequently,natural gas,private,electric,290,never,1454,extra large,1,10,19,9,1386
normal,female,vegan,less frequently,coal,public,,66,frequently,408,medium,5,24,22,5,1663
underweight,female,vegetarian,less frequently,wood,private,diesel,60,very frequently,42,large,3,1,29,1,1912
obese,female,vegan,less frequently,natural gas,private,electric,225,frequently,4955,extra large,5,2,0,3,1828
obese,male,omnivore,less frequently,wood,walk/bicycle,,85,very frequently,10,large,6,18,23,6,3346
obese,male,omnivore,daily,coal,private,lpg,65,frequently,2430,large,4,12,19,8,3340
normal,male,pescatarian,twice a day,natural gas,public,,83,frequently,840,extra large,5,13,29,23,2446
underweight,female,vegan,more frequently,natural gas,walk/bicycle,,251,very frequently,93,large,4,17,9,24,2300
normal,female,vegan,more frequently,wood,private,diesel,85,frequently,5608,large,4,1,6,16,2859
underweight,male,pescatarian,less frequently,coal,walk/bicycle,,235,frequently,39,small,2,1,36,3,1876
overweight,female,omnivore,more frequently,natural gas,walk/bicycle,,126,never,16,large,3,13,33,4,1335
underweight,female,vegan,less frequently,natural gas,public,,279,never,426,extra large,6,20,33,1,1320
obese,female,vegan,twice a day,electricity,public,,184,frequently,1234,medium,1,13,39,21,2200
underweight,female,vegan,less frequently,natural gas,public,,185,rarely,1489,large,5,23,14,1,1249
obese,male,pescatarian,less frequently,electricity,private,hybrid,79,very frequently,2583,small,5,19,17,6,3074
normal,female,vegetarian,twice a day,natural gas,private,electric,120,very frequently,115,medium,2,11,49,17,2509
overweight,female,pescatarian,more frequently,wood,walk/bicycle,,112,very frequently,53,large,4,6,20,4,2524
overweight,female,vegetarian,more frequently,wood,public,,114,never,1555,large,4,19,15,2,1351
obese,male,vegan,more frequently,wood,private,lpg,271,rarely,8169,large,6,21,7,21,4550
obese,female,vegetarian,more frequently,wood,walk/bicycle,,275,never,28,extra large,1,4,32,17,1440
overweight,male,omnivore,less frequently,coal,public,,253,never,505,extra large,2,24,0,6,1607
underweight,male,pescatarian,daily,coal,public,,158,never,948,small,5,12,32,12,1560
underweight,female,pescatarian,daily,electricity,public,,247,never,712,large,1,2,17,5,675
overweight,male,vegan,daily,wood,private,electric,109,very frequently,3363,large,6,17,22,20,2971
overweight,female,vegetarian,less frequently,wood,walk/bicycle,,271,never,49,extra large,1,13,33,7,1075
underweight,male,vegetarian,more frequently,natural gas,walk/bicycle,,294,rarely,11,large,6,14,13,23,1528
obese,male,vegetarian,less frequently,coal,private,petrol,87,very frequently,9096,medium,2,11,43,4,7226
underweight,female,omnivore,daily,coal,private,diesel,88,very frequently,8948,small,1,16,5,3,3495
underweight,male,omnivore,less frequently,natural gas,walk/bicycle,,91,rarely,43,medium,2,16,26,19,1537
obese,male,pescatarian,more frequently,wood,walk/bicycle,,227,very frequently,2,medium,6,18,10,23,3189
obese,male,vegan,twice a day,wood,private,petrol,246,very frequently,9739,extra large,1,5,21,21,7337
obese,male,vegan,daily,wood,public,,162,frequently,546,extra large,5,21,17,12,2936
underweight,male,vegetarian,more frequently,wood,public,,170,frequently,1316,large,4,6,46,3,2344
obese,female,omnivore,more frequently,coal,private,diesel,97,rarely,1212,extra large,1,17,35,14,2097
overweight,female,vegan,more frequently,wood,walk/bicycle,,155,very frequently,17,extra large,5,7,27,10,2760
obese,female,vegetarian,daily,coal,private,lpg,121,never,7011,small,2,22,27,1,3131
overweight,male,vegan,less frequently,electricity,public,,294,very frequently,1056,medium,1,24,2,7,1960
obese,female,omnivore,daily,natural gas,private,electric,202,frequently,7892,medium,3,4,49,10,2349
overweight,male,vegan,daily,wood,public,,275,never,657,extra large,2,9,38,11,1557
normal,female,vegan,daily,wood,walk/bicycle,,289,rarely,40,small,3,4,15,7,919
overweight,male,omnivore,daily,natural gas,public,,246,never,1191,extra large,1,15,3,4,952
obese,male,omnivore,daily,natural gas,private,electric,107,rarely,2434,small,5,19,39,20,2057
obese,female,vegetarian,daily,electricity,private,electric,132,very frequently,8052,extra large,1,19,17,6,2415
overweight,female,vegan,daily,coal,private,diesel,222,frequently,740,medium,1,13,36,23,2405
overweight,male,vegetarian,more frequently,electricity,private,lpg,286,rarely,3370,large,2,8,12,16,2457
overweight,female,omnivore,less frequently,wood,private,petrol,133,never,1041,large,2,4,50,6,1780
underweight,male,vegan,more frequently,coal,private,electric,82,never,8941,medium,4,17,26,16,1510
obese,female,vegetarian,more frequently,electricity,private,petrol,156,frequently,8541,small,4,22,5,13,4506
obese,male,omnivore,daily,natural gas,public,,172,frequently,353,large,3,0,27,24,2584
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,66,frequently,65,large,1,16,9,20,1563
overweight,male,pescatarian,less frequently,wood,private,petrol,259,very frequently,1904,extra large,4,24,26,1,4171
underweight,female,pescatarian,daily,coal,private,electric,76,frequently,6819,large,4,11,48,9,2207
normal,female,omnivore,less frequently,coal,private,lpg,91,never,6673,large,4,18,8,12,2679
overweight,male,vegan,daily,electricity,walk/bicycle,,169,never,3,medium,4,16,31,20,1213
normal,male,vegetarian,less frequently,coal,public,,296,frequently,245,small,4,15,39,24,2280
obese,female,vegetarian,more frequently,electricity,private,diesel,257,rarely,1589,medium,7,15,22,0,1922
obese,male,vegetarian,more frequently,coal,private,petrol,152,never,1047,large,7,21,27,1,2605
normal,male,pescatarian,more frequently,electricity,private,hybrid,136,rarely,269,large,6,23,35,14,1605
underweight,male,pescatarian,less frequently,coal,private,petrol,148,rarely,8073,medium,3,3,35,9,4185
underweight,male,vegetarian,less frequently,coal,walk/bicycle,,154,frequently,60,extra large,7,16,41,10,3221
underweight,female,vegetarian,twice a day,electricity,walk/bicycle,,293,never,10,large,1,17,0,18,412
normal,male,vegetarian,twice a day,wood,walk/bicycle,,238,very frequently,83,small,4,19,44,0,2919
overweight,female,vegetarian,less frequently,wood,private,petrol,296,frequently,6059,large,2,15,12,4,4078
underweight,female,vegetarian,twice a day,coal,private,hybrid,73,frequently,7238,large,2,10,36,7,2589
normal,male,vegan,more frequently,electricity,private,hybrid,160,rarely,7115,large,4,0,43,8,2515
overweight,female,vegan,less frequently,wood,private,electric,270,very frequently,8530,small,2,16,2,4,1948
normal,male,vegetarian,more frequently,wood,walk/bicycle,,276,never,6,extra large,6,5,47,23,2233
normal,female,vegetarian,twice a day,electricity,private,hybrid,122,never,8874,extra large,4,15,30,5,2435
obese,male,vegetarian,daily,electricity,public,,199,very frequently,762,small,1,8,25,11,2867
overweight,male,vegetarian,twice a day,natural gas,public,,202,never,263,medium,2,20,41,6,1554
overweight,female,vegetarian,twice a day,electricity,walk/bicycle,,155,never,56,small,3,15,25,22,976
underweight,male,omnivore,more frequently,wood,public,,258,never,1218,medium,2,14,45,8,1846
overweight,male,vegan,twice a day,coal,public,,94,never,1190,large,4,18,0,6,1220
underweight,female,vegan,more frequently,wood,public,,245,very frequently,1340,large,4,1,39,8,2243
obese,female,pescatarian,daily,coal,public,,118,rarely,419,medium,3,17,8,24,1792
underweight,female,pescatarian,twice a day,electricity,private,electric,294,never,8383,medium,4,14,50,2,1484
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,71,rarely,51,extra large,1,5,42,1,1292
obese,male,vegan,daily,natural gas,walk/bicycle,,125,never,71,large,6,2,27,22,1858
underweight,male,vegetarian,twice a day,natural gas,private,hybrid,231,very frequently,4671,extra large,6,15,16,5,3571
underweight,male,omnivore,less frequently,coal,private,electric,158,very frequently,3320,medium,2,17,22,10,2599
overweight,female,pescatarian,twice a day,coal,public,,84,very frequently,144,extra large,2,23,34,2,2712
underweight,female,vegetarian,more frequently,wood,public,,224,very frequently,865,small,1,14,12,2,1965
overweight,female,vegetarian,daily,electricity,private,lpg,73,frequently,185,extra large,1,0,15,18,1349
normal,male,omnivore,twice a day,electricity,public,,290,very frequently,1059,medium,5,17,45,3,3075
obese,female,omnivore,more frequently,coal,public,,202,never,1943,medium,7,13,50,6,2465
obese,male,vegetarian,daily,coal,walk/bicycle,,277,never,91,small,1,15,14,0,1309
normal,female,pescatarian,more frequently,natural gas,public,,286,rarely,1214,medium,2,15,10,24,1345
underweight,male,vegetarian,less frequently,natural gas,public,,235,frequently,421,medium,7,13,0,23,1869
underweight,female,vegetarian,twice a day,electricity,walk/bicycle,,57,rarely,61,small,4,1,8,19,775
obese,female,omnivore,less frequently,coal,private,petrol,247,rarely,5642,small,3,9,29,14,3959
overweight,female,vegetarian,more frequently,natural gas,private,electric,91,very frequently,6428,medium,1,9,44,11,2333
underweight,female,pescatarian,twice a day,wood,public,,140,rarely,490,extra large,3,16,0,17,1137
underweight,male,vegetarian,twice a day,natural gas,private,electric,235,never,1927,extra large,2,11,41,14,1599
normal,male,pescatarian,twice a day,electricity,walk/bicycle,,52,frequently,60,extra large,1,23,15,20,1392
underweight,male,vegetarian,less frequently,wood,private,electric,66,rarely,6181,extra large,7,10,19,12,1588
obese,female,pescatarian,daily,natural gas,public,,109,very frequently,1134,large,2,15,2,14,2388
overweight,male,pescatarian,more frequently,coal,private,diesel,82,rarely,6441,large,3,8,21,15,3655
overweight,male,vegan,more frequently,coal,public,,299,frequently,645,small,1,11,40,15,2369
underweight,female,pescatarian,more frequently,coal,public,,252,never,15,medium,7,10,6,22,1344
normal,female,vegan,twice a day,electricity,walk/bicycle,,64,very frequently,4,medium,5,9,6,2,1792
obese,male,omnivore,daily,natural gas,walk/bicycle,,141,very frequently,53,small,3,22,31,9,3125
overweight,female,vegetarian,twice a day,natural gas,public,,236,frequently,1387,large,2,11,46,15,2106
underweight,male,vegetarian,less frequently,wood,walk/bicycle,,57,frequently,39,medium,1,12,13,11,1309
overweight,female,vegan,daily,electricity,private,electric,232,very frequently,3002,small,3,7,27,10,2415
overweight,male,pescatarian,more frequently,natural gas,walk/bicycle,,203,frequently,71,extra large,4,15,45,14,2711
normal,male,omnivore,twice a day,electricity,private,electric,258,rarely,3175,extra large,1,5,18,6,1290
underweight,female,omnivore,daily,coal,walk/bicycle,,179,never,91,small,2,4,11,3,694
overweight,male,vegan,twice a day,wood,walk/bicycle,,230,never,50,extra large,1,19,5,8,910
obese,male,vegetarian,daily,natural gas,public,,112,frequently,804,extra large,2,6,27,4,2485
overweight,female,vegetarian,less frequently,wood,private,hybrid,152,rarely,3754,small,6,3,6,22,1757
overweight,female,vegetarian,more frequently,electricity,public,,249,very frequently,25,medium,7,11,2,18,2153
normal,male,vegetarian,daily,coal,private,diesel,160,never,2635,large,1,11,15,22,2031
normal,female,vegan,daily,wood,public,,56,rarely,1427,large,6,5,13,15,1477
normal,female,vegetarian,daily,natural gas,walk/bicycle,,94,very frequently,73,small,6,1,16,23,2085
overweight,male,vegan,more frequently,electricity,walk/bicycle,,193,rarely,88,small,6,9,17,8,1210
overweight,female,vegetarian,daily,coal,walk/bicycle,,121,rarely,31,extra large,5,24,20,20,1898
underweight,female,vegetarian,more frequently,wood,public,,243,frequently,1495,large,4,1,22,15,1785
normal,female,vegetarian,more frequently,electricity,private,petrol,119,frequently,9933,extra large,3,12,24,5,4824
normal,female,vegan,more frequently,electricity,private,hybrid,172,frequently,8869,medium,6,23,0,23,2281
obese,female,vegan,twice a day,coal,private,petrol,238,never,3468,small,4,16,10,18,2416
overweight,male,vegan,daily,wood,public,,166,never,916,medium,5,2,17,3,1394
underweight,male,vegan,less frequently,wood,walk/bicycle,,79,never,63,extra large,2,24,31,13,1308
underweight,male,pescatarian,less frequently,natural gas,walk/bicycle,,118,never,25,medium,1,8,39,4,878
normal,male,vegetarian,more frequently,coal,public,,65,rarely,1779,large,1,16,1,12,1293
normal,female,vegan,daily,coal,private,petrol,107,frequently,9759,extra large,6,12,18,19,5424
underweight,male,omnivore,twice a day,natural gas,public,,94,very frequently,1669,small,1,24,36,14,2600
normal,female,vegetarian,twice a day,wood,walk/bicycle,,278,never,2,large,5,19,7,9,1071
overweight,male,vegetarian,less frequently,natural gas,public,,79,frequently,1292,extra large,1,23,8,8,1767
normal,female,vegetarian,more frequently,wood,public,,267,frequently,1011,large,6,13,42,1,2324
obese,female,omnivore,twice a day,electricity,public,,294,very frequently,1182,extra large,6,24,46,5,3606
obese,male,vegetarian,daily,wood,public,,166,rarely,982,medium,2,11,13,20,1683
underweight,female,vegetarian,more frequently,electricity,private,hybrid,226,frequently,4222,medium,5,23,40,6,2262
normal,female,vegetarian,daily,coal,public,,240,frequently,1065,large,5,18,19,3,1942
underweight,male,vegan,less frequently,electricity,walk/bicycle,,253,very frequently,83,large,6,10,0,0,1860
normal,male,vegan,twice a day,natural gas,private,petrol,56,never,7598,medium,6,4,12,19,4462
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,,273,very frequently,9,small,2,23,26,17,2031
normal,female,omnivore,twice a day,wood,walk/bicycle,,266,frequently,7,small,4,24,13,22,1546
overweight,female,pescatarian,daily,natural gas,public,,202,never,833,medium,5,23,16,10,1475
obese,female,pescatarian,twice a day,coal,private,diesel,170,very frequently,4136,small,2,14,50,18,4105
overweight,female,vegetarian,more frequently,wood,walk/bicycle,,178,never,20,small,5,16,41,4,1405
overweight,male,pescatarian,more frequently,wood,walk/bicycle,,297,never,45,large,4,3,39,22,2070
underweight,male,omnivore,daily,coal,public,,88,very frequently,853,extra large,2,17,11,4,2573
normal,male,omnivore,less frequently,coal,private,electric,80,never,1388,large,4,7,19,7,1471
overweight,male,omnivore,daily,natural gas,public,,290,very frequently,718,medium,7,21,28,10,3427
normal,male,pescatarian,less frequently,wood,walk/bicycle,,238,rarely,43,medium,3,4,17,0,1152
overweight,male,vegan,less frequently,electricity,public,,85,rarely,97,medium,3,18,34,11,1165
underweight,female,vegetarian,twice a day,coal,public,,136,very frequently,1149,medium,3,2,37,17,2682
underweight,male,pescatarian,less frequently,electricity,private,lpg,95,never,4917,large,7,0,45,9,2634
underweight,female,vegan,twice a day,coal,private,diesel,213,frequently,3038,large,7,3,4,14,2541
overweight,male,pescatarian,less frequently,natural gas,walk/bicycle,,254,rarely,16,small,4,21,10,8,1160
normal,male,vegetarian,daily,wood,private,petrol,298,rarely,1657,extra large,2,20,50,8,2431
overweight,male,omnivore,twice a day,coal,walk/bicycle,,126,very frequently,49,small,5,9,33,24,3685
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,76,frequently,65,extra large,6,7,37,8,2133
normal,female,vegetarian,twice a day,coal,private,petrol,95,very frequently,2439,small,3,4,9,1,2799
normal,male,pescatarian,daily,wood,public,,233,never,205,large,5,15,34,19,1682
